fertilizers,Dosage
zinc sulphate,5-25 kg/ha
borax,5-20 kg/ha
ferrous sulphate,10-50 kg/ha
manganese sulphate,1-2 kg/ha
copper sulphate,0.2-0.5 kg/ha
organic matter,5-15 tone/ha
ssp,50-475 kg/ha
Urea,300 kg/ha
DAP,200 g /meter 
Fourteen-Thirty Five-Fourteen,90 kg/ha
Twenty Eight-Twenty Eight,100-150 kg/ha
Seventeen-Seventeen-Seventeen,150–250 kg/ha
Twenty-Twenty,100–200 kg/ha
Ten-Twenty Six-Twenty Six,100–200 kg/ha
Sulphur Bentonite,20-40 kg/ha
npk_complex,150-200 kg/ha
